Epoch,Learn rate,Avg Train loss,Train Accuracy,Train Perplexity,Avg Eval loss,Eval accuracy,Eval Perplexity
0,0.0,6.192114883549744,0.0005354926055089112,488.8789356913509,6.193047298474259,0.0005438892364376381,489.3349862884212
1,8.402724196698429e-05,4.092888668520287,0.08224284521879129,59.91270993583706,4.080932960081636,0.08164896891358193,59.20067596080635
2,0.00016805448393396858,3.9246645593345786,0.09067492304745434,50.63608980606363,3.9277378709128734,0.09061893050590258,50.79194966742459
3,0.0002520817259009529,3.7499081027730834,0.10005565447705699,42.51717461008339,3.7603860946183794,0.09888434870524353,42.965011336453934
4,0.00033610896786793716,3.5955201979734297,0.11617698670672776,36.434648289220455,3.6258987683928416,0.11590628803111194,37.558464355215754
5,0.00042013620983492146,3.379289060025602,0.15103260286756465,29.349897678784778,3.389959112981732,0.15242340457573367,29.664739342833105
6,0.0005041634518019057,3.255362985039947,0.18196043245138102,25.929024674082783,3.2676727959279264,0.18421980043810404,26.25017868147834
7,0.00058819069376889,3.0967364291391353,0.2003729032379674,22.12562477999507,3.088849632927541,0.20899436346600564,21.95181080495832
8,0.0006722179357358743,2.9906565002988628,0.22090702105832447,19.89874173429287,3.0246616454606645,0.21806597073426406,20.587037814925853
9,0.0006716936252282928,2.889035752805999,0.23747173273885572,17.975967965411872,2.920447338832898,0.23511036359861995,18.549583553083547
10,0.0006372245236610825,2.8226645959390178,0.25528556576265865,16.82161381166514,2.8511910170651555,0.2544757357139266,17.308384150174202
11,0.000607569744260685,2.7343544454435795,0.2705901541172095,15.399798816083672,2.7614359319879767,0.2700831111562386,15.822546744807585
12,0.0005817037430077656,2.6911171746600937,0.27712698565823124,14.748142972055314,2.713123217057646,0.2786416612314374,15.076288582318927
13,0.0005588828785760542,2.60028084003504,0.2938866464734821,13.467519722663,2.6267479698309737,0.2914322561092591,13.82872526680477
14,0.0005385530173895161,2.555940771301174,0.3019732994002265,12.883414304511353,2.5991721742608576,0.2977878608730402,13.452597018157737
15,0.0005202916448525727,2.5258204357044116,0.3087713286559448,12.501147445113942,2.5793079017253406,0.30310687908295836,13.1880076030933
16,0.0005037702189212195,2.4998700886407166,0.31473346782573297,12.180911419150863,2.544867984364542,0.3111296021536495,12.741545891752372
17,0.000488728899682993,2.445836920252461,0.32281974441296346,11.540203788650098,2.5010339544060525,0.3173534923724914,12.19509661817471
18,0.00047495911727870113,2.4193666457138536,0.32746237157040475,11.23873895677605,2.4530186519194186,0.3248902485611733,11.623380755467373
19,0.0004622912579037805,2.403405760776972,0.3311578775765742,11.060782685084487,2.4527013784044245,0.3249974682759703,11.61969354955629
20,0.00045058578181911903,2.3657610017395814,0.33700047764857444,10.652142032455577,2.406625972704941,0.331710909859518,11.096458159885563
21,0.00043972669734685017,2.3347042967524696,0.3434791831985085,10.326405926084782,2.392911514539397,0.33631919675998473,10.945315040648202
22,0.0004296166862105068,2.3298895906757666,0.3466064703191888,10.276806815107147,2.3652730791756276,0.3424772774235586,10.646945879766658
23,0.0004201734080710494,2.300720921425215,0.35133318723859014,9.981375649197831,2.3410558352309665,0.3459662178928932,10.392203226511976
24,0.00041132666132238775,2.2893128875883106,0.3533989451283477,9.868154819488877,2.3548850450622902,0.3438501073403305,10.536917521374711
25,0.00040301617513697563,2.2797101713763452,0.3551559427176097,9.773847258285894,2.330750938211934,0.3466232506076941,10.285662530713898
26,0.0003951898733301858,2.2567014079579693,0.35901883746383095,9.551530543228058,2.324446469210507,0.34924907965606516,10.221020869908832
27,0.00038780249533851036,2.236058937041031,0.36423975303614214,9.356384430211225,2.315516367387236,0.350997388028027,10.13015244880001
28,0.00038081449062460354,2.229602972088138,0.36577309008199804,9.296174505950809,2.3001014757692144,0.3536571515410134,9.975194644007077
29,0.00037419112466441324,2.21557560185137,0.3681674805971292,9.16668395361338,2.2787913110818754,0.3568625473574306,9.764870582902923
